aluno,disciplina,count
1,2,1
2,1,1
3,4,1
4,2,1
4,5,1
5,2,1
5,4,1
6,4,1
7,2,1
8,4,1
9,3,1
9,5,1
10,4,1
11,5,1
12,4,1
13,4,1
14,2,1
15,5,1
16,5,1
17,4,1
17,5,1
17,5,1
18,2,1
18,2,1
18,4,1
18,5,1
19,3,1
20,4,1
21,2,1
21,2,1
21,5,1
21,5,1
22,2,1
22,2,1
22,5,1
23,1,1
23,2,1
23,2,1
23,4,1
23,5,1
24,2,1
25,3,1
26,2,1
26,2,1
26,4,1
27,2,1
27,2,1
27,4,1
27,5,1
27,5,1
28,2,1
29,4,1
30,1,1
30,1,1
30,2,1
31,4,1
32,4,1
33,4,1
33,4,1
34,2,1
35,2,1
35,4,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,5,1
37,2,1
37,4,1
37,5,1
38,4,1
39,2,1
39,2,1
39,3,1
39,3,1
39,5,1
40,2,1
40,5,1
41,2,1
41,4,1
41,5,1
42,2,1
42,2,1
42,2,1
43,2,1
43,4,1
44,2,1
44,3,1
44,3,1
44,4,1
45,4,1
46,2,1
46,2,1
46,2,1
46,4,1
46,5,1
46,5,1
47,2,1
47,2,1
47,4,1
47,5,1
48,2,1
48,4,1
49,2,1
50,4,1
51,2,1
52,2,1
52,3,1
52,3,1
52,5,1
52,5,1
53,2,1
53,4,1
53,4,1
53,5,1
54,4,1
55,2,1
56,2,1
56,4,1
57,2,1
57,3,1
57,3,1
57,5,1
58,1,1
58,2,1
58,5,1
59,2,1
60,2,1
61,5,1
62,2,1
63,2,1
64,2,1
65,3,1
66,1,1
66,2,1
66,3,1
66,4,1
66,5,1
67,2,1
67,4,1
68,2,1
68,4,1
69,2,1
69,2,1
69,2,1
69,5,1
69,5,1
70,2,1
70,2,1
70,2,1
71,2,1
71,2,1
71,5,1
72,4,1
73,2,1
74,3,1
75,2,1
75,2,1
75,2,1
75,2,1
75,2,1
75,4,1
76,2,1
76,2,1
76,2,1
77,2,1
77,4,1
78,4,1
78,5,1
79,1,1
80,2,1
80,2,1
80,4,1
80,5,1
81,1,1
82,2,1
82,2,1
82,2,1
82,4,1
82,5,1
82,5,1
83,2,1
83,5,1
83,5,1
84,2,1
84,2,1
84,2,1
84,2,1
84,2,1
84,2,1
84,2,1
84,4,1
84,4,1
84,4,1
84,4,1
84,5,1
85,1,1
85,2,1
85,2,1
85,2,1
85,3,1
85,3,1
85,4,1
85,4,1
85,5,1
85,5,1
86,2,1
86,2,1
86,4,1
86,5,1
87,2,1
87,2,1
87,5,1
88,2,1
88,2,1
88,2,1
88,2,1
88,5,1
88,5,1
89,2,1
89,2,1
89,2,1
90,2,1
90,2,1
90,2,1
90,4,1
90,4,1
91,2,1
91,2,1
92,2,1
92,2,1
92,2,1
92,5,1
92,5,1
93,1,1
93,3,1
94,2,1
95,2,1
95,2,1
95,2,1
95,2,1
96,1,1
96,2,1
96,3,1
96,4,1
96,5,1
97,2,1
97,2,1
98,2,1
98,2,1
98,4,1
98,4,1
98,5,1
99,2,1
99,2,1
99,4,1
100,2,1
100,5,1
101,2,1
101,2,1
101,4,1
101,5,1
101,5,1
102,2,1
102,2,1
103,2,1
103,4,1
104,2,1
104,2,1
104,2,1
104,5,1
104,5,1
105,1,1
105,2,1
105,4,1
105,5,1
106,2,1
106,4,1
106,5,1
107,2,1
107,5,1
108,2,1
108,2,1
108,2,1
108,4,1
108,5,1
109,1,1
109,2,1
109,2,1
109,3,1
109,4,1
109,5,1
109,5,1
110,1,1
110,2,1
110,3,1
110,4,1
110,4,1
110,5,1
111,1,1
111,2,1
111,3,1
111,4,1
111,5,1
112,1,1
112,2,1
112,3,1
112,4,1
112,5,1
113,1,1
113,2,1
113,3,1
113,4,1
113,5,1
114,1,1
114,2,1
114,2,1
114,3,1
114,4,1
114,4,1
114,5,1
115,1,1
115,2,1
115,3,1
115,4,1
115,5,1
116,1,1
116,2,1
116,2,1
116,3,1
116,4,1
116,5,1
116,5,1
117,1,1
117,2,1
117,2,1
117,3,1
117,4,1
117,5,1
118,1,1
118,2,1
118,2,1
118,2,1
118,3,1
118,3,1
118,4,1
118,4,1
118,5,1
118,5,1
119,1,1
119,2,1
119,2,1
119,3,1
119,4,1
119,5,1
120,1,1
120,2,1
120,3,1
120,4,1
120,5,1
121,1,1
121,2,1
121,3,1
121,4,1
121,4,1
121,5,1
122,1,1
122,2,1
122,3,1
122,4,1
122,5,1
123,1,1
123,2,1
123,3,1
123,4,1
123,5,1
124,1,1
124,2,1
124,2,1
124,3,1
124,4,1
124,5,1
125,1,1
125,2,1
125,3,1
125,4,1
125,5,1
126,1,1
126,2,1
126,3,1
126,4,1
126,5,1
127,1,1
127,2,1
127,2,1
127,3,1
127,4,1
127,5,1
128,1,1
128,2,1
128,2,1
128,3,1
128,4,1
128,5,1
129,1,1
129,2,1
129,2,1
129,3,1
129,4,1
129,5,1
130,1,1
130,2,1
130,3,1
130,4,1
130,5,1
131,1,1
131,2,1
131,2,1
131,2,1
131,3,1
131,4,1
131,5,1
132,1,1
132,1,1
132,2,1
132,3,1
132,3,1
132,4,1
132,4,1
132,5,1
132,5,1
133,1,1
133,2,1
133,3,1
133,4,1
133,4,1
133,5,1
134,1,1
134,2,1
134,3,1
134,3,1
134,4,1
134,5,1
135,1,1
135,2,1
135,3,1
135,4,1
135,5,1
136,1,1
136,2,1
136,3,1
136,4,1
136,4,1
136,5,1
137,1,1
137,1,1
137,2,1
137,2,1
137,3,1
137,4,1
137,5,1
137,5,1
137,5,1
138,1,1
138,2,1
138,2,1
138,3,1
138,4,1
138,5,1
138,5,1
139,1,1
139,2,1
139,3,1
139,4,1
139,5,1
140,1,1
140,2,1
140,3,1
140,4,1
140,5,1
141,1,1
141,2,1
141,3,1
141,4,1
141,4,1
141,5,1
142,1,1
142,2,1
142,3,1
142,4,1
142,5,1
143,1,1
143,2,1
143,2,1
143,2,1
143,3,1
143,4,1
143,4,1
143,4,1
143,5,1
143,5,1
144,1,1
144,2,1
144,3,1
144,4,1
144,5,1
145,1,1
145,2,1
145,3,1
145,4,1
145,5,1
146,1,1
146,2,1
146,2,1
146,2,1
146,3,1
146,4,1
146,4,1
146,5,1
146,5,1
147,1,1
147,2,1
147,2,1
147,2,1
147,3,1
147,4,1
147,5,1
147,5,1
148,1,1
148,2,1
148,2,1
148,2,1
